CODIGO;Código Nuevo;NOMBRE;Región Codigo;Región Nombre;COMUNA;Nom. Comuna;SS Codigo;SS Nombre;Tipo de Establecimiento;Nivel de Atención;Nivel de Atención DEIS;Dependencia de Ejecución;Certificación;Hospital;Especialidad;ACTIVO;Vigente;Código Nuevo
21-915;200290;Centro Comunitario de Salud Familiar El Alto;9;De La Araucanía;09111;Nueva Imperial;21;A. Sur;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;200290
21-343;121343;Centro de Referencia de Salud Miraflores;9;De La Araucanía;09101;Temuco;21;A. Sur;Centro de Referencia de Salud;Secundario;Secundario;Servicio de Salud;No Autogestionado;SI;Atención de Especialidad;SI;SI;121343
21-012;121012;Clínica Dental Móvil Doble. Pat. BBZV83 (Temuco);9;De La Araucanía;09101;Temuco;21;A. Sur;Clínica Dental Móvil;Primario;Primario;Servicio de Salud;No Autogestionado;NO;No Especialidad;SI;SI;121012
21-013;121013;Clínica Dental Móvil Doble. Pat. BBZV84 (Temuco);9;De La Araucanía;09101;Temuco;21;A. Sur;Clínica Dental Móvil;Primario;Primario;Servicio de Salud;No Autogestionado;NO;No Especialidad;SI;SI;121013
21-014;121014;Clínica Dental Móvil Doble. Pat. BBZV85 (Temuco);9;De La Araucanía;09101;Temuco;21;A. Sur;Clínica Dental Móvil;Primario;Primario;Servicio de Salud;No Autogestionado;NO;No Especialidad;SI;SI;121014
21-345;121345;CECOSAM Temuco;9;De La Araucanía;09101;Temuco;21;A. Sur;0;Secundario;Secundario;Servicio de Salud;No Autogestionado;NO;No Especialidad;SI;SI;121345
21-313;121313;Consultorio Curarrehue;9;De La Araucanía;09104;Curarrehue;21;A. Sur;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121313
21-323;121323;Consultorio Perquenco;9;De La Araucanía;09113;Perquenco;21;A. Sur;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121323
21-339;121339;Centro de Salud Intercultural Boroa Filulawen;9;De La Araucanía;09111;Nueva Imperial;21;A. Sur;Consultorio General Rural;Primario;Primario;Otra Institución;No Autogestionado;NO;No Especialidad;SI;SI;121339
21-352;121352;Centro de Salud Docente Asistencial Monseñor Sergio Valech;9;De La Araucanía;09101;Temuco;21;A. Sur;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121352
21-353;121353;Centro de Salud Rural Pitrufquén;9;De La Araucanía;09114;Pitrufquén;21;A. Sur;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121353
21-355;121355;Centro de Salud Familiar Rural Pucón;9;De La Araucanía;09115;Pucón;21;A. Sur;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121355
21-303;121303;Centro de Salud Familiar Miraflores (Temuco);9;De La Araucanía;09101;Temuco;21;A. Sur;Consultorio General Urbano;Primario;Primario;Servicio de Salud;No Autogestionado;NO;No Especialidad;SI;SI;121303
21-304;121304;Centro de Salud Familiar Freire;9;De La Araucanía;09105;Freire;21;A. Sur;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121304
21-305;121305;Centro de Salud Familiar Villa Alegre;9;De La Araucanía;09101;Temuco;21;A. Sur;Consultorio General Urbano;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121305
21-306;121306;Centro de Salud Familiar Santa Rosa;9;De La Araucanía;09101;Temuco;21;A. Sur;Consultorio General Urbano;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121306
21-307;121307;Centro de Salud Familiar Amanecer;9;De La Araucanía;09101;Temuco;21;A. Sur;Consultorio General Urbano;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121307
21-308;121308;Centro de Salud Familiar Padre Las Casas;9;De La Araucanía;09112;Padre Las Casas;21;A. Sur;Consultorio General Urbano;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121308
21-309;121309;Centro de Salud Familiar Pueblo Nuevo;9;De La Araucanía;09101;Temuco;21;A. Sur;Consultorio General Urbano;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121309
21-311;121311;Centro de Salud Familiar Melipeuco;9;De La Araucanía;09110;Melipeuco;21;A. Sur;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121311
21-312;121312;Centro de Salud Familiar Teodoro Schmidt;9;De La Araucanía;09117;Teodoro Schmidt;21;A. Sur;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121312
21-326;121326;Centro de Salud Familiar Andrés Sandoval Calderón;9;De La Araucanía;09103;Cunco;21;A. Sur;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121326
21-327;121327;Centro de Salud Familiar Chol Chol;9;De La Araucanía;09121;Cholchol;21;A. Sur;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121327
21-328;121328;Centro de Salud Familiar Trovolhue;9;De La Araucanía;09102;Carahue;21;A. Sur;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121328
21-334;121334;Centro de Salud Familiar Villarrica;9;De La Araucanía;09120;Villarrica;21;A. Sur;Consultorio General Urbano;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121334
21-336;121336;Centro de Salud Familiar Las Colinas;9;De La Araucanía;09112;Padre Las Casas;21;A. Sur;Consultorio General Urbano;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121336
21-337;121337;Centro de Salud Familiar Quepe;9;De La Araucanía;09105;Freire;21;A. Sur;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121337
21-341;121341;Centro de Salud Familiar Nueva Imperial;9;De La Araucanía;09111;Nueva Imperial;21;A. Sur;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121341
21-342;121342;Centro de Salud Familiar Pulmahue;9;De La Araucanía;09112;Padre Las Casas;21;A. Sur;Consultorio General Urbano;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121342
21-346;121346;Centro de Salud Familiar Lautaro;9;De La Araucanía;09108;Lautaro;21;A. Sur;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121346
